date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
12:31:58	294/294	---M--	404	error ('Not%20Found')	text/html	date:Tue,%2001%20Jan%202019%2007:02:00%20GMT	http://demo.admireadmin.com/robots.txt		(from )
12:31:59	93086/93086	---M-Z	200	added ('OK')	text/html	etag:%2216b9e-560fbf626e503-gzip%22	http://demo.admireadmin.com/admire_html/	C:/Users/Raghvendra/Desktop/new/website/demo.admireadmin.com/admire_html/index.html	(from )
12:31:59	10568/10568	---M--	200	added ('OK')	image/vnd.microsoft.icon	etag:%222948-560fc020c2e77%22	http://demo.admireadmin.com/admire_html/img/logo1.ico	C:/Users/Raghvendra/Desktop/new/website/demo.admireadmin.com/admire_html/img/logo1.ico	(from http://demo.admireadmin.com/admire_html/)
12:32:00	196058/196058	---M-Z	200	added ('OK')	text/css	etag:%222fdda-560fc023551b6-gzip%22	http://demo.admireadmin.com/admire_html/css/components.css	C:/Users/Raghvendra/Desktop/new/website/demo.admireadmin.com/admire_html/css/components.css	(from http://demo.admireadmin.com/admire_html/)
12:32:01	26839/26839	---M-Z	200	added ('OK')	text/css	etag:%2268d7-560fc022e9af6-gzip%22	http://demo.admireadmin.com/admire_html/css/custom.css	C:/Users/Raghvendra/Desktop/new/website/demo.admireadmin.com/admire_html/css/custom.css	(from http://demo.admireadmin.com/admire_html/)
12:32:02	11508/11508	---M-Z	200	added ('OK')	text/css	etag:%222cf4-560fc021d2636-gzip%22	http://demo.admireadmin.com/admire_html/vendors/chartist/css/chartist.min.css	C:/Users/Raghvendra/Desktop/new/website/demo.admireadmin.com/admire_html/vendors/chartist/css/chartist.min.css	(from http://demo.admireadmin.com/admire_html/)
12:32:03	848/848	---M-Z	200	added ('OK')	text/css	etag:%22350-560fc021f9736-gzip%22	http://demo.admireadmin.com/admire_html/vendors/circliful/css/jquery.circliful.css	C:/Users/Raghvendra/Desktop/new/website/demo.admireadmin.com/admire_html/vendors/circliful/css/jquery.circliful.css	(from http://demo.admireadmin.com/admire_html/)
12:32:03	8400/8400	---M-Z	200	added ('OK')	text/css	etag:%2220d0-560fc020a6957-gzip%22	http://demo.admireadmin.com/admire_html/css/pages/index.css	C:/Users/Raghvendra/Desktop/new/website/demo.admireadmin.com/admire_html/css/pages/index.css	(from http://demo.admireadmin.com/admire_html/)
12:32:05	93086/93086	---M-Z	200	added ('OK')	text/html	etag:%2216b9e-560fbf626e503-gzip%22	http://demo.admireadmin.com/admire_html/index.html	C:/Users/Raghvendra/Desktop/new/website/demo.admireadmin.com/admire_html/index-2.html	(from http://demo.admireadmin.com/admire_html/)
12:32:05	28108/28108	---M--	200	added ('OK')	image/gif	etag:%226dcc-560fc020c0f37%22	http://demo.admireadmin.com/admire_html/img/loader.gif	C:/Users/Raghvendra/Desktop/new/website/demo.admireadmin.com/admire_html/img/loader.gif	(from http://demo.admireadmin.com/admire_html/)
12:32:05	4115/4115	---M--	200	added ('OK')	image/png	etag:%221013-560fc020c2e77%22	http://demo.admireadmin.com/admire_html/img/logow.png	C:/Users/Raghvendra/Desktop/new/website/demo.admireadmin.com/admire_html/img/logow.png	(from http://demo.admireadmin.com/admire_html/)
12:32:06	112408/112408	---M-Z	200	added ('OK')	text/html	etag:%221b718-560fbf626e503-gzip%22	http://demo.admireadmin.com/admire_html/mail_inbox.html	C:/Users/Raghvendra/Desktop/new/website/demo.admireadmin.com/admire_html/mail_inbox.html	(from http://demo.admireadmin.com/admire_html/)
12:32:07	79899/79899	---M-Z	200	added ('OK')	text/html	etag:%221381b-560fbf626e503-gzip%22	http://demo.admireadmin.com/admire_html/mail_compose.html	C:/Users/Raghvendra/Desktop/new/website/demo.admireadmin.com/admire_html/mail_compose.html	(from http://demo.admireadmin.com/admire_html/)
